Name,City,Brand,Model,Year,Mileage,Fuel,Transmission,Engine Capacity,Color,Body Type,Price,Ad URL,Description,Registered In,Assembly,Last Updated:,Ad Ref #,Features,Seller Comments
Suzuki Mehran 2013 for sale in Islamabad,Islamabad,Suzuki,Mehran,2013,"11,809 km",Petrol,Manual,796 cc,Sand Beige,Hatchback,1450000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2013-for-sale-in-islamabad-10467187,"Seats Cover
PakWheels inspected car
Inspection report attached
Number plates available
Token Tax Paid
1st  Owner
Manufacture 2013
Registered 2014
Documents  Available
2 key available",Islamabad,Local,"Aug 21, 2025",10467187,"['AM/FM Radio', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']",Seats Cover PakWheels inspected car Inspection report attached Number plates available Token Tax Paid 1st  Owner Manufacture 2013 Registered 2014 Documents  Available 2 key available Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2012 for sale in Islamabad,Islamabad,Suzuki,Mehran,2012,"92,650 km",Petrol,Manual,800 cc,Snow White Pearl,Hatchback,1000000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10400207,"-alloy wheels installed 
- PakWheels inspected car
- Inspection report attached
- Number plates available
- 2nd  Owner
- Token Tax Paid
- Manufacture 2012
- Registered 2012
-Documents available 
- 1 key available",Islamabad,Local,"Aug 21, 2025",10400207,"['Front Speakers', 'USB and Auxillary Cable']",-alloy wheels installed - PakWheels inspected car - Inspection report attached - Number plates available - 2nd  Owner - Token Tax Paid - Manufacture 2012 - Registered 2012 -Documents available - 1 key available Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2018 for sale in Islamabad,Islamabad,Suzuki,Mehran,2018,"52,000 km",Petrol,Manual,796 cc,Silky Silver,Hatchback,1395000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10487071,a,Lahore,Local,"Aug 21, 2025",10487071,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key', 'Keyless Entry']",a Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2007 for sale in Islamabad,Islamabad,Suzuki,Mehran,2007,"62,570 km",Petrol,Manual,800 cc,Blue,Hatchback,850000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2007-for-sale-in-islamabad-10422652,"Floor Matts
PakWheels inspected car
Inspection report attached
Number plates available
2nd Owner
Token Tax Paid
Manufacture 2007
Registered 2007
Documents available
1 key available
",Lahore,Local,"Aug 21, 2025",10422652,"['AM/FM Radio', 'Front Speakers', 'USB and Auxillary Cable']",Floor Matts PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2007 Registered 2007 Documents available 1 key available Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2017 for sale in Islamabad,Islamabad,Suzuki,Mehran,2017,"58,000 km",Petrol,Manual,800 cc,Silver,Hatchback,1375000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-islamabad-10477268,"Suzuki Mehran Euro 2 
Gare 100 % Total Genuine ha
Document Clear Ha Lifetime paid ha
Gare Mare Apne Name Pr Ha 
Gare total 58k chale ha brand new car h
gare ka body me koi craking dab ya scratch zang nhe ha. new Tyer Lage ha 
gare total sel by sel ha
Engine 100% Standard ha
Ac+Heater Warking Ha
gare ka engine ger sab ok ha gare ma machinecal koi kam nhe ha. 
Urgent sell krne ha.",Lahore,Local,"Aug 21, 2025",10477268,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']",Suzuki Mehran Euro 2 Gare 100 % Total Genuine ha Document Clear Ha Lifetime paid ha Gare Mare Apne Name Pr Ha Gare total 58k chale ha brand new car h gare ka body me koi craking dab ya scratch zang nhe ha. new Tyer Lage ha gare total sel by sel ha Engine 100% Standard ha Ac+Heater Warking Ha gare ka engine ger sab ok ha gare ma machinecal koi kam nhe ha. Urgent sell krne ha. Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2017 for sale in Islamabad,Islamabad,Suzuki,Mehran,2017,"86,467 km",Petrol,Manual,796 cc,Solid White,Hatchback,1150000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-islamabad-10372822,"- Documents have not checked by Pakwheels
- PakWheels inspected car
- Inspection report attached
- Number plates available
- Token tax Cleared
- 2nd Owner
- Manufacture 2017
- Registered 2017
- 2 keys available",Lahore,Local,"Aug 21, 2025",10372822,"['AM/FM Radio', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2017 - Registered 2017 - 2 keys available Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2018 for sale in Islamabad,Islamabad,Suzuki,Mehran,2018,"78,430 km",Petrol,Manual,796 cc,Silky Silver,Hatchback,1500000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10334445,"Seat Covers
PakWheels inspected car
Inspection report attached
Number plates available
2nd Owner
Token Tax Paid
Manufacture 2018
Registered 2018
Documents available
2 keys available
",Lahore,Local,"Aug 21, 2025",10334445,"['AM/FM Radio', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']",Seat Covers PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2018 Registered 2018 Documents available 2 keys available Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2017 for sale in Islamabad,Islamabad,Suzuki,Mehran,2017,"68,470 km",Petrol,Manual,800 cc,White,Hatchback,1375000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2017-for-sale-in-islamabad-10480226,Suzuki Muhran Vxr Euro 2  model 2016 end gare bumper 2 bumper genuine hai Documents Clear ha  gara Mara apne Name or Ha registration Islamabad gare  ka condition bilkul saf ha gare total 100% Genuine ha gare ma  sarva break laga hoa  hai sound system and Japanese speaker laga hua hai  gare total 68k genuine chele ha brand new car jasa hai gare ka body me koi craking dab ya scratch zang nhe ha gare new  rim tyre special laga hua hai  gare total sel by sel ha  engine 100 standard ha Ac 100% hai dealer Hazrat aur Chaska party Apna time West na Karen.0330.9121090//,Islamabad,Local,"Aug 20, 2025",10480226,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Immobilizer Key']",Suzuki Muhran Vxr Euro 2  model 2016 end gare bumper 2 bumper genuine hai Documents Clear ha  gara Mara apne Name or Ha registration Islamabad gare  ka condition bilkul saf ha gare total 100% Genuine ha gare ma  sarva break laga hoa  hai sound system and Japanese speaker laga hua hai  gare total 68k genuine chele ha brand new car jasa hai gare ka body me koi craking dab ya scratch zang nhe ha gare new  rim tyre special laga hua hai  gare total sel by sel ha  engine 100 standard ha Ac 100% hai dealer Hazrat aur Chaska party Apna time West na Karen.0330.9121090// Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2018 for sale in Islamabad,Islamabad,Suzuki,Mehran,2018,"35,668 km",Petrol,Manual,796 cc,Graphite Grey,Hatchback,1400000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10482673,"- Documents have not checked by Pakwheels
- PakWheels inspected car
- Inspection report attached
- Number plates available
- Token tax Cleared
- 1st Owner
- Manufacture 2018
- Registered 2018
- 2 keys available",Islamabad,Local,"Aug 20, 2025",10482673,"['AM/FM Radio', 'Air Conditioning', 'CD Player', 'Front Speakers', 'Immobilizer Key', 'USB and Auxillary Cable']",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2018 - Registered 2018 - 2 keys available Mention PakWheels.com when calling Seller to get a good deal
Suzuki Mehran 2006 for sale in Islamabad,Islamabad,Suzuki,Mehran,2006,"85,143 km",Petrol,Manual,800 cc,Snow White Pearl,Hatchback,700000 PKR,https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-islamabad-10482470,"PakWheels inspected car
Inspection report attached
Number plates available
Token Tax Paid
3rd Owner
Manufacture 2006
Registered 2007
Documents Available
2 key available",Islamabad,Local,"Aug 20, 2025",10482470,"['Front Speakers', 'USB and Auxillary Cable']",PakWheels inspected car Inspection report attached Number plates available Token Tax Paid 3rd Owner Manufacture 2006 Registered 2007 Documents Available 2 key available Mention PakWheels.com when calling Seller to get a good deal
