Name,Description,Seller Comments,City,Brand,Model,Year,Mileage,Actual Price,Predicted Price,Absolute Error,Percentage Error (%),Ad URL
Suzuki Mehran 2006 for sale in Islamabad,"Showered, on my own name, mechanically fit, no issue, but and drive, not accidental.","Showered, on my own name, mechanically fit, no issue, but and drive, not accidental. Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Suzuki,Mehran,2006,145000,680000,950792.5833333334,-270792.5833333334,-39.8224387254902,https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-islamabad-10473969
Suzuki Mehran 2012 for sale in Islamabad,power staring allow rim good tire new car total jenvan scaeem car,power staring allow rim good tire new car total jenvan scaeem car Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2012,76000,690000,946400.0,-256400.0,-37.15942028985507,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10354379
Suzuki Mehran 2014 for sale in Islamabad,neat & clean home used car  urgent sale  . Chilled Ac . new tyre & Rim installed almost 70 to 80 percent  genuine no work required,neat & clean home used car  urgent sale  . Chilled Ac . new tyre & Rim installed almost 70 to 80 percent  genuine no work required Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2014,75000,995000,1238333.3333333333,-243333.33333333326,-24.455611390284748,https://www.pakwheels.com/used-cars/suzuki-mehran-2014-for-sale-in-islamabad-10377129
Suzuki Mehran 1993 for sale in Islamabad,Suzuki mehran 1993 modle my family used car in good condition Lahore number original book and file token UpTo date Biometric on  the sport good engine wize and body wize urgent sale only call for more details,Suzuki mehran 1993 modle my family used car in good condition Lahore number original book and file token UpTo date Biometric on  the sport good engine wize and body wize urgent sale only call for more details Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,1993,41000,260000,496110.0,-236110.0,-90.81153846153846,https://www.pakwheels.com/used-cars/suzuki-mehran-1993-for-sale-in-islamabad-10483268
Suzuki Mehran 2012 for sale in Islamabad,"Mechanical Okay 
Mehran VXR: Non EFI
No Major Accidental. Outer Shower and Some piece are in Touching 
Ac And All kits Are in Working Condition 
Just Need to Put AC Gas
Model: 2012
Registered: 2013
Documents and Biometric Is Available on the Spot 
Only Serious Buyers Can Contact 
Just Contact On Given Whatsapp No",Mechanical Okay Mehran VXR: Non EFI No Major Accidental. Outer Shower and Some piece are in Touching Ac And All kits Are in Working Condition Just Need to Put AC Gas Model: 2012 Registered: 2013 Documents and Biometric Is Available on the Spot Only Serious Buyers Can Contact Just Contact On Given Whatsapp No Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2012,70332,740000,965716.6666666666,-225716.66666666663,-30.502252252252248,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10467594
Suzuki Mehran 2006 for sale in Islamabad,"Engine 100%
Shower for fresh look
Biometric available
Smart card
Original number plates original file available 
Non eccidential
Driven on petrol
Just tyres will be change otherwise all ok
Demand 5.80
Urgent sale",Engine 100% Shower for fresh look Biometric available Smart card Original number plates original file available Non eccidential Driven on petrol Just tyres will be change otherwise all ok Demand 5.80 Urgent sale Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2006,185000,500000,723118.5166666667,-223118.51666666672,-44.62370333333334,https://www.pakwheels.com/used-cars/suzuki-mehran-2006-for-sale-in-islamabad-10459457
Suzuki Mehran 2012 for sale in Islamabad,Alloy Rims. CNG Installed from factory. Token tax paid for life. Fitted with new tires. Need to sell the car urgently.,Alloy Rims. CNG Installed from factory. Token tax paid for life. Fitted with new tires. Need to sell the car urgently. Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2012,100000,885000,1106200.0,-221200.0,-24.994350282485875,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10427842
Suzuki Mehran 2018 for sale in Islamabad,Inside out fully original. Complete original file is availble . Driven on petrol throughout . Token tax paid for life. Urgently need to sellthe  car.,Inside out fully original. Complete original file is availble . Driven on petrol throughout . Token tax paid for life. Urgently need to sellthe  car. Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2018,100000,1350000,1564547.777777778,-214547.77777777798,-15.89242798353911,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10481817
Suzuki Mehran 2012 for sale in Islamabad,Alloy Rims. 100% maintained by dealership. Inside out fully original. Original return file is available . Complete service history available. Totally driven on petrol. All token taxes are paid for life . In showroom condition. Original Book is available. Token tax is up to date. Urgently need to sellthe  car.,Alloy Rims. 100% maintained by dealership. Inside out fully original. Original return file is available . Complete service history available. Totally driven on petrol. All token taxes are paid for life . In showroom condition. Original Book is available. Token tax is up to date. Urgently need to sellthe  car. Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2012,75000,870000,1080100.0,-210100.0,-24.149425287356323,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10426043
Suzuki Mehran 2018 for sale in Islamabad,Only one piece touch bki total genuine ghari hai sound less first owner (duplicate card) Jo card per likha howa nh hai mechanically  ok hai Ac /heater,Only one piece touch bki total genuine ghari hai sound less first owner (duplicate card) Jo card per likha howa nh hai mechanically  ok hai Ac /heater Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2018,82000,1300000,1504452.222222222,-204452.22222222202,-15.727094017094,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10403572
Suzuki Mehran 2018 for sale in Islamabad,"Registered in 2019, Original documents available, genuine condition, best working condition of engine, smooth drive, no noise, sound of any kind.  AC implanted from Athar AC F10 but gas was not filled this season.","Registered in 2019, Original documents available, genuine condition, best working condition of engine, smooth drive, no noise, sound of any kind.  AC implanted from Athar AC F10 but gas was not filled this season. Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Suzuki,Mehran,2018,76000,1335000,1536633.3266666667,-201633.32666666666,-15.10361997503121,https://www.pakwheels.com/used-cars/suzuki-mehran-2018-for-sale-in-islamabad-10381001
Suzuki Mehran 2005 for sale in Islamabad,"‎ONLY WHATSAPP PLZZ
‎Suzuki Mehran VXR 2005 
‎Transmission  : Manual
‎Fuel type : Petrol/CNG
‎Condition : Used
‎Key features :
‎• Well maintain
‎• Neat & Clean
‎• Outer Showered 
‎• Inner Original 
‎• Smooth drive , perfect for city commuting 
‎•  Good Fuel average/CNG Average. 
‎• Suspension  
‎• Mechanically  
‎• Heater  working condition
‎• No work required 
‎• Note :
‎Original file, Smart Card , Biometric on spot available
‎ Just Sale Invoice missing hain. 
‎• Registration : Sindh
‎• Just buy and Drive
‎• Only serious buyer contact please
‎• Very Urgent For Selling","‎ONLY WHATSAPP PLZZ ‎Suzuki Mehran VXR 2005 ‎Transmission  : Manual ‎Fuel type : Petrol/CNG ‎Condition : Used ‎Key features : ‎• Well maintain ‎• Neat & Clean ‎• Outer Showered ‎• Inner Original ‎• Smooth drive , perfect for city commuting ‎•  Good Fuel average/CNG Average. ‎• Suspension ‎• Mechanically ‎• Heater  working condition ‎• No work required ‎• Note : ‎Original file, Smart Card , Biometric on spot available ‎ Just Sale Invoice missing hain. ‎• Registration : Sindh ‎• Just buy and Drive ‎• Only serious buyer contact please ‎• Very Urgent For Selling Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Suzuki,Mehran,2005,140000,550000,738162.9611111111,-188162.9611111111,-34.21144747474747,https://www.pakwheels.com/used-cars/suzuki-mehran-2005-for-sale-in-islamabad-10432949
Suzuki Mehran 2012 for sale in Islamabad,"Merhan 50/50
2012 model
lahore number
biomatic available 
document clear 
kuch anad sa kuch Bahar sa tayar ha.
 contact only on WhatsApp likh dena",Merhan 50/50 2012 model lahore number biomatic available document clear kuch anad sa kuch Bahar sa tayar ha. contact only on WhatsApp likh dena Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Suzuki,Mehran,2012,235986,720000,907133.3333333334,-187133.33333333337,-25.990740740740748,https://www.pakwheels.com/used-cars/suzuki-mehran-2012-for-sale-in-islamabad-10397633
