Name,Description,Seller Comments,City,Brand,Model,Year,Mileage,Actual Price,Predicted Price,Absolute Error,Percentage Error (%),Ad URL
Toyota Corolla 2011 for sale in Islamabad,"Toyota Corolla Altis 2011 model 
1.8 VVT-i petrol engine
Manual transmission 
Side showered  chat pillar  genuine 
Islamabad number
Demand 25",Toyota Corolla Altis 2011 model 1.8 VVT-i petrol engine Manual transmission Side showered  chat pillar  genuine Islamabad number Demand 25 Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Toyota,Corolla,2011,125000,2500000,3516869.99,-1016869.9900000002,-40.674799600000014,https://www.pakwheels.com/used-cars/toyota-corolla-2011-for-sale-in-islamabad-10361619
Toyota Corolla 2021 for sale in Islamabad,"First owner 
B to B
Scratch less
Little bit negotiable on the spot",First owner B to B Scratch less Little bit negotiable on the spot Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Toyota,Corolla,2021,41000,4975000,5901916.666666667,-926916.666666667,-18.63149078726969,https://www.pakwheels.com/used-cars/toyota-corolla-2021-for-sale-in-islamabad-10397714
Toyota Corolla 2018 for sale in Islamabad,"Toyota Corolla Grande 2018 Black Color Karachi Registered 
Bumper to Bumper Original 
Very low mileage car, just 64k driven 
As good as new  
Maintained by Toyota dealership
. Lightweight allow rims
. Token tax is up to date. 
Looking to sell the car urgently
","Toyota Corolla Grande 2018 Black Color Karachi Registered Bumper to Bumper Original Very low mileage car, just 64k driven As good as new Maintained by Toyota dealership . Lightweight allow rims . Token tax is up to date. Looking to sell the car urgently Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Toyota,Corolla,2018,64000,5500000,6224583.316666666,-724583.3166666664,-13.174242121212117,https://www.pakwheels.com/used-cars/toyota-corolla-2018-for-sale-in-islamabad-10478162
Toyota Corolla 2020 for sale in Islamabad, 2020 model 2024 Registered 4 grade auction sheet available Untouched Car No touching battery Abs 100% ok push start fresh japan import Rate is final  Just Whatsapp contact plz 03088333715,2020 model 2024 Registered 4 grade auction sheet available Untouched Car No touching battery Abs 100% ok push start fresh japan import Rate is final  Just Whatsapp contact plz 03088333715 Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Toyota,Corolla,2020,125000,6700000,7405780.0,-705780.0,-10.534029850746268,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-islamabad-10463553
Toyota Corolla 2015 for sale in Islamabad," Firh lock total shower Petrol driven, CNG never installed. Brand new tires installed. Engine in pristine condition. Original Book is available as well. Complete original file is availble. All taxes paid. Price is flexible. Looking to sell the car urgently.
","Firh lock total shower Petrol driven, CNG never installed. Brand new tires installed. Engine in pristine condition. Original Book is available as well. Complete original file is availble. All taxes paid. Price is flexible. Looking to sell the car urgently. Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Toyota,Corolla,2015,170000,2550000,3218116.6166666667,-668116.6166666667,-26.200651633986926,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-10399882
Toyota Corolla 2005 for sale in Islamabad,"Outer Shower without potine
Complete car work done ie.
Suspension 
Engine oil
Tyres etc
Just buy and drive
For further details contact ",Outer Shower without potine Complete car work done ie. Suspension Engine oil Tyres etc Just buy and drive For further details contact Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Toyota,Corolla,2005,1,1975000,2618166.6666666665,-643166.6666666665,-32.56540084388185,https://www.pakwheels.com/used-cars/toyota-corolla-2005-for-sale-in-islamabad-10406498
Toyota Corolla 2016 for sale in Islamabad,"I am posting this ad on behalf of my friend . The car is at his own name, family used car,The car was in the use of an Army Officer. Totally driven on petrol. In showroom condition. serious buyers to call only, sorry to dealers","I am posting this ad on behalf of my friend . The car is at his own name, family used car,The car was in the use of an Army Officer. Totally driven on petrol. In showroom condition. serious buyers to call only, sorry to dealers Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Toyota,Corolla,2016,95000,3750000,4374379.993333333,-624379.9933333332,-16.65013315555555,https://www.pakwheels.com/used-cars/toyota-corolla-2016-for-sale-in-islamabad-10456981
Toyota Corolla 2019 for sale in Islamabad,"Toyota Corolla - Altis 1.8 CVTi
Model 2019 - Registered 2019
Islamabad Registered
Second Owner (In my name)
Black Color
Excellent Condition - very Well Maintained
Original Documents
Carpet Matts + Trunk Matt installed
New Battery installed - 1 week ago
Tyres in very good condition
Both original Keys available
Toyota Maintained
Total Genuine
Home Driven Vehicle in Islamabad
Under Use of Senior Officer
",Toyota Corolla - Altis 1.8 CVTi Model 2019 - Registered 2019 Islamabad Registered Second Owner (In my name) Black Color Excellent Condition - very Well Maintained Original Documents Carpet Matts + Trunk Matt installed New Battery installed - 1 week ago Tyres in very good condition Both original Keys available Toyota Maintained Total Genuine Home Driven Vehicle in Islamabad Under Use of Senior Officer Mention PakWheels.com when calling Seller to get a good deal,Islamabad,Toyota,Corolla,2019,2,5290000,5914292.673333333,-624292.6733333329,-11.801373787019525,https://www.pakwheels.com/used-cars/toyota-corolla-2019-for-sale-in-islamabad-10358934
Toyota Corolla 2015 for sale in Islamabad,"second owner Petrol driven, CNG never installed . In showroom condition. Brand new tires installed. Will be sold to nearest offer. All token taxes are paid to date.","second owner Petrol driven, CNG never installed . In showroom condition. Brand new tires installed. Will be sold to nearest offer. All token taxes are paid to date. Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Toyota,Corolla,2015,130,3600000,4210773.31,-610773.3099999996,-16.965925277777767,https://www.pakwheels.com/used-cars/toyota-corolla-2015-for-sale-in-islamabad-10439422
Toyota Corolla 2020 for sale in Islamabad,"100% original. 100% maintained by dealership. Original Book is available. All token taxes are paid to date, Super Clean Interior, As fresh as a new car. Location Faisal Hills near B-17,.","100% original. 100% maintained by dealership. Original Book is available. All token taxes are paid to date, Super Clean Interior, As fresh as a new car. Location Faisal Hills near B-17,. Mention PakWheels.com when calling Seller to get a good deal",Islamabad,Toyota,Corolla,2020,44200,4900000,5506599.996666667,-606599.996666667,-12.37959176870749,https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-islamabad-10463550
